month_old_when_trained	mean_rescues_per_year	age_last_year	weight_last_year	rescues_last_year
9	16.7	2	15.7093421	30
33	24.2	8	14.76081925	35
43	20.2	4	13.11837395	19
37	19.2	5	10.61407536	24
45	16.9	8	17.51988978	28
41	19.7	6	22.80996093	37
70	12.1	7	16.17951147	33
45	24.9	7	24.56310997	37
45	13.7	9	15.20624843	34
48	18.7	4	18.92797027	31
45	18.4	5	17.29704756	33
28	21.8	8	21.66390835	39
4	28.2	1	16.17105093	31
16	24.6	2	20.63478822	27
39	19.9	6	17.17297989	32
27	14	8	18.78372359	29
7	23.2	5	8.580353443	27
23	16.6	6	17.03221926	33
5	24.5	3	14.77866829	34
41	18.5	7	17.48785712	33
2	22.8	3	18.0163647	33
19	26.1	2	23.99409126	35
21	19.5	2	14.03798756	31
8	25	6	17.9746433	32
43	16	7	15.68521953	25
44	17	7	19.32980772	32
32	19.7	6	19.2404955	33
34	10.6	6	17.1526513	33
44	16.6	7	20.93383422	31
1	25.2	3	20.4129203	31
60	16.3	10	17.0947552	33
31	18.7	6	24.4867856	36
16	22	6	14.60788854	25
3	16.4	5	15.93924802	27
58	19.3	10	21.31876263	34
10	25.1	2	17.33856689	36
17	24.2	3	8.952019386	27
56	16.3	5	17.52668264	31
17	21.7	3	25.9047924	33
21	20.8	5	23.13309419	29
67	13	8	17.10303387	34
54	19.5	9	17.18257768	33
41	18.4	6	17.68815015	37
40	15.3	4	18.45492731	44
67	20.2	9	22.933932	39
33	22.3	6	12.71989576	29
68	14.6	7	18.59287523	39
63	15.3	6	20.93538259	34
51	16.5	6	18.38547099	33
54	17.8	6	18.99742418	31
53	12.8	5	12.37503749	25
30	15.6	4	18.73255415	34
68	17.7	11	20.53044809	34
32	19.7	7	19.87691329	34
63	19.8	8	17.24722961	33
58	14.8	10	21.23317935	40
21	17.4	6	14.19000543	25
43	18	8	22.68587921	33
59	14.1	10	13.04626935	35
67	17.7	10	19.58146391	30
19	22.9	6	20.92217189	37
1	18.1	3	16.08948621	25
27	23.5	7	15.85939478	31
32	25.9	8	15.37750952	30
9	24.5	5	12.76727325	31
16	24.4	2	18.36127788	32
1	26	2	17.98685459	31
68	17.9	9	16.17733694	40
24	17.6	3	18.01219413	30
5	21.9	6	19.02826624	33
68	22.7	8	13.97153581	22
58	22.6	10	23.94981283	41
6	20.8	6	20.80638174	37
70	16.1	7	14.80760944	31
29	21.7	3	22.17185133	30
64	15.4	6	12.10483435	23
6	19.6	6	13.80294772	34
70	9.3	7	22.05551544	36
1	26.2	2	15.64167955	30
41	24.3	4	22.46456613	36
10	19.5	4	18.31348655	40
8	22.7	2	16.0738433	27
66	21.5	10	22.6833733	37
16	15	6	22.69359673	36
8	21.5	1	11.99551424	22
16	22.7	6	19.24069648	37
47	19.3	4	15.63412846	26
68	17.2	7	12.34406563	21
53	14.6	8	24.77305793	40
1	18.1	2	9.324722941	23
12	15.3	1	18.82405649	28
41	14.8	9	15.91975902	35
71	17.2	6	15.26753823	26
31	18.5	8	16.28076869	41
12	22	2	22.03467434	35
50	20.1	6	21.35936918	32
24	20.3	5	19.36005326	34
8	19.6	4	17.18343384	34
68	20.4	6	20.56724089	37
34	21.8	4	17.91300936	35
10	24.2	3	23.26820417	40
40	11.4	8	18.03883087	36
15	21.9	7	22.12852393	39
30	16.6	3	22.30659942	34
61	17.6	9	14.86692959	28
24	22.3	4	13.58214695	19
24	15.6	5	16.96251261	35
50	23.3	5	20.73676631	29
39	16	6	23.7351562	39
20	18.9	3	18.78391359	33
9	16.1	2	21.5464617	41
20	22.3	6	24.97265687	35
72	19.3	8	22.24904211	39
29	21.3	6	19.41197045	33
64	15.8	9	16.04335599	36
2	23.8	2	15.36727957	26
5	20.2	5	20.49497769	37
47	17.5	6	17.01063151	34
1	22.1	2	17.4128766	26
71	18.8	8	16.80877901	32
44	18	4	18.90274371	37
49	15.2	6	25.98091305	36
23	20.4	5	20.61840624	40
2	20.9	4	20.51145614	33
52	14.2	10	18.45865402	39
55	12.6	9	17.44735877	33
53	15	6	18.06919911	28
39	20.7	6	14.81643671	32
59	20.4	5	13.2349614	38
18	17.5	7	22.22265306	33
9	21.3	5	23.09932069	36
48	21.3	7	23.96451398	36
13	17.3	7	22.8792469	32
22	27.7	7	13.18951827	26
60	15.2	5	21.78545926	31
52	10.4	10	15.38281633	31
45	21.6	6	15.53574207	28
65	12	9	12.83902541	43
56	17.2	6	13.88871148	38
27	22.2	5	24.60324827	39
51	21.9	7	18.94649044	30
32	16.6	7	22.48170367	44
5	21.9	2	20.116172	25
44	16	7	17.57302227	31
68	23.7	9	16.55555044	25
57	18.9	8	9.492027146	30
27	18.9	6	24.97504913	38
50	18.8	8	12.54797801	37
8	22.4	3	14.97635401	31
47	17.8	8	18.64866763	40
72	12.8	7	21.77596436	27
31	18.8	5	13.29374095	33
45	20.7	6	16.75832254	34
37	19.7	4	25.01784283	41
63	20	7	17.34075018	39
35	14	5	16.96577449	30
28	22.3	8	17.34171171	40
55	18.7	6	10.43495465	30
1	22.3	3	17.95873028	36
43	17.4	9	25.14609004	42
17	19.2	3	27.5266683	37
48	14.9	7	18.07904794	33
7	21.9	5	19.25023952	37
40	17	4	24.82638759	44
67	14.7	10	23.54740398	36
10	22.4	2	22.47879777	25
35	22.2	4	16.65036584	27
1	27.2	1	19.97805844	19
54	18.8	10	16.29903204	31
17	19.5	6	21.78928386	29
49	15.9	8	24.69181013	43
26	20.2	3	16.57685852	37
4	22.2	3	24.83778649	27
43	19.6	4	19.16688587	33
48	17.7	6	17.89791388	39
35	21.6	5	23.9570237	35
39	25.3	5	12.41489591	28
58	16.2	10	17.22798281	36
41	21	8	11.63211212	30
71	13.1	7	16.8428543	32
24	19.8	7	18.3299908	31
57	18.6	5	14.87480408	27
8	19.6	2	14.27852416	23
53	21.1	8	22.61463318	32
13	21.1	6	17.17440559	37
25	22.1	7	24.62875081	41
68	19.3	8	17.2748817	31
3	24.2	2	12.89766753	22
19	19.6	5	15.48508405	31
29	17.3	4	15.90778085	36
43	18.7	4	18.87255166	29
16	18.9	4	17.30413596	29
32	15.8	8	19.04769085	26
24	26.4	5	18.04277749	25
24	19.4	2	17.01377875	27
47	19.1	7	17.56217315	31
40	16.9	4	19.39217558	32
13	20.4	7	21.87432544	33
29	18.9	4	11.9055037	27
41	24	5	17.87934698	21
24	22.8	5	16.69519895	28
23	23.7	2	15.51989971	26
17	20.5	2	17.12461334	24
52	18.3	5	16.44630242	36
12	19.7	1	14.42830094	23
55	18.2	6	9.576514732	29
22	21.6	3	14.90652152	21
3	23	5	9.071946896	23
51	12.9	7	19.30972622	33
57	13.9	8	15.97121052	31
72	14.7	7	17.43060311	37
14	23	2	10.6568584	27
45	21.2	7	14.70394007	35
60	13.9	10	15.74365161	34
56	13.7	9	9.94438842	31
24	17	3	7.445962112	28
18	21.3	6	22.97996521	39
13	23.6	3	29.7826702	32
34	22.9	8	12.79321359	34
20	20.9	5	15.35005327	25
39	17.8	8	15.32926889	35
5	23.5	2	19.21160922	26
10	19.7	6	24.75661327	35
15	22.6	4	13.67915655	29
5	16.7	3	12.94590818	27
58	19.8	5	17.5485624	35
51	15	10	23.25654663	35
38	22.1	9	17.54780415	30
65	18.6	6	16.18196365	35
21	17.8	7	18.67289555	37
42	19.2	8	18.91524097	33
59	17.9	5	21.73303512	30
19	18.3	5	13.31379404	35
41	17.6	7	12.98239264	31
40	19.1	7	20.51046454	42
65	12.4	6	8.768811509	27
15	23.7	5	25.477678	41
65	15.8	9	13.87681221	31
54	15.6	5	15.59083451	26
9	22.6	1	21.80666497	25
51	20.2	9	21.28894615	37
68	17	10	21.37891855	37
4	24.6	4	16.67917468	32
54	14.7	10	12.73002474	41
21	25.5	2	23.21744869	26
45	16.8	5	15.35339308	28
59	8.2	6	25.71969971	41
41	19.3	9	16.83496234	25
17	21.9	6	18.4308362	34
63	13.5	6	16.22847144	28
32	18.8	6	18.43329906	29
20	15.1	2	14.83102207	28
62	18	10	14.28484628	29
34	21.5	6	13.7063075	29
58	24.5	9	17.59575368	36
60	16.8	5	11.03058976	30
2	25	2	14.6362343	21
30	23.5	3	15.42563081	27
40	18.1	8	17.95837093	38
61	17.2	10	17.30949212	32
25	18.7	4	17.82411335	31
69	14.3	7	18.60333517	40
41	14.6	5	18.25167931	35
27	19.7	6	13.08969331	32
4	23.1	4	14.0666256	30
16	19.3	2	14.93074283	30
61	14.3	7	15.40454639	31
8	24.4	3	17.79807902	29
35	18.7	6	16.2562319	34
50	20.7	10	20.08314998	36
55	16.5	10	16.68375167	39
8	22.8	4	18.03594188	34
22	17.2	5	14.9798596	31
58	18.1	6	24.80062357	39
62	11.3	6	21.66013754	32
10	21	6	19.16575459	35
31	17.8	7	24.86781452	45
21	19.8	7	14.30705477	34
23	22.4	5	20.0469446	35
18	20	5	18.26284082	34
27	21.6	8	13.36693886	33
52	19.9	6	27.78163918	44
21	20.4	7	14.61468717	28
11	22	2	19.55166285	27
52	17.4	7	18.70066846	37
47	14	8	19.59583434	35
52	19	5	12.55751267	27
39	16	9	18.17693326	40
54	16.7	9	19.87907886	34
33	22.5	6	19.59408329	28
55	21.6	5	18.96319207	36
40	17.4	5	16.10175138	26
51	21.4	6	16.23527708	34
23	16.3	2	19.45105522	28
70	12.2	7	19.54819644	35
71	19.8	9	21.80495927	32
67	11	11	20.69071024	36
25	21.2	4	19.23346268	30
49	23.9	8	25.74581197	42
23	24.8	2	9.504705678	20
67	14.4	10	15.09517719	36
42	17.9	9	15.03341771	31
43	23.7	9	15.52005571	30
56	18.8	7	17.00141485	29
52	21.9	5	15.43526777	30
28	21	7	24.84945035	39
22	22.4	7	21.96121058	34
5	24.3	2	12.85290041	31
10	22.9	4	13.99160839	21
28	20	7	16.69823903	25
67	16.8	8	21.66626484	25
39	13	8	16.03361264	31
14	19.9	6	18.90103588	32
62	18.9	9	13.9422753	30
65	14.2	7	15.62269714	31
1	22.3	1	20.50672033	19
