month_old_when_trained	mean_rescues_per_year	age_last_year	weight_last_year	rescues_last_year
68	21.1	9	14.5	35
53	14.9	5	14	30
41	20.5	6	17.7	34
3	19.4	1	13.7	29
4	24.9	4	18.4	30
50	12.9	9	12.4	25
12	21.1	4	13.1	26
63	16.6	8	17.1	37
43	15.3	4	14.3	32
36	19.6	3	20.2	30
36	20.2	6	14.5	35
14	24.2	3	17.8	32
26	21.8	3	18.6	33
50	20	6	19.5	36
51	23.8	7	18.3	32
35	19.8	6	19.6	36
38	18.3	9	22.7	38
52	19.2	6	19.6	35
58	17.9	9	17.8	33
9	21.5	5	19.1	34
23	20.9	3	23.1	37
34	19.3	8	21.1	35
26	19.5	5	28.5	34
29	19.3	6	20.6	40
57	14.1	8	11.4	20
6	24	2	22.2	32
1	32.4	3	14.6	31
68	17.7	11	16.5	38
18	24.5	6	16.1	31
9	21.1	2	17.2	36
71	15.4	7	21.6	44
18	23	2	22.5	28
70	16.8	11	21.2	39
55	13.4	9	19.4	30
35	21.7	5	16.2	44
47	15.8	7	21.4	42
21	14.9	7	18.6	39
20	15.9	7	12.6	30
7	23.7	4	14.8	26
17	25.4	7	9.3	29
71	15.3	11	7.2	27
65	16.5	11	19.4	37
62	21.2	9	19.5	30
44	16.7	7	20	26
61	16.7	10	15.4	25
23	23.6	5	16.9	29
29	24.3	3	21	29
7	21.8	4	17.1	30
19	25.9	2	23.5	29
23	20.7	5	23	37
