boot_size,harness_size,sex,age_years
39,58,male,12
38,58,male,9.6
37,52,female,8.6
39,58,male,10.2
38,57,male,7.8
35,52,female,4.4
37,55,female,6
36,53,female,14.2
35,49,male,13.2
40,54,female,15.2
40,59,male,3.6
36,56,male,10
38,53,female,7
39,58,male,12.4
42,57,male,7.4
42,58,male,12
36,56,male,11.4
36,51,female,5
35,50,female,15.2
41,59,male,11.4
42,59,female,6.6
38,59,male,9.6
37,55,female,7.8
35,50,male,6.4
40,55,female,8.8
36,52,female,13.2
35,53,female,13.2
39,54,female,6.8
41,61,male,10.8
37,56,male,6.2
35,55,female,11.8
41,60,male,4.2
39,57,female,3.6
41,56,male,5.2
42,61,male,5.8
42,58,male,6.6
36,53,female,4.6
37,57,male,14
37,57,male,10.2
39,55,female,8.4
42,60,male,12.4
35,51,female,3.8
36,52,female,4.2
41,56,male,11
41,55,female,13.6
41,57,female,12.6
39,58,male,14.6
39,57,male,15
35,51,female,14.2
39,59,male,9.4
