Account ID,Account Age,Total Accrued
2A,22,4638
3A,46,34734
4A,14,1379
5A,29,9521
6A,35,13374
7A,28,10357
8A,48,36925
9A,26,9154
10A,35,18833
11A,31,9061
12A,37,22357
13A,22,2783
14A,18,2103
15A,38,22430
16A,40,21793
17A,23,4006
18A,24,6516
19A,43,33968
20A,26,6884
21A,27,7616
22A,21,4671
23A,15,2432
24A,20,4650
25A,19,2368
26A,15,1887
27A,22,2947
28A,31,10674
29A,42,29308
30A,18,1559
31A,27,8996
32A,24,5975
33A,35,17364
34A,37,20949
35A,23,4042
36A,45,38007
37A,31,12749
38A,10,359
39A,47,35307
40A,46,33790
41A,42,26361
42A,10,565
43A,21,4758
44A,31,11562
45A,14,1915
46A,41,22392
47A,39,20382
48A,16,1321
49A,39,22430
50A,43,26302
51A,14,1544
52A,13,1371
53A,26,8040
54A,17,3052
55A,17,1252
56A,27,8601
57A,41,28374
58A,47,45298
59A,29,7272
60A,40,25439
61A,50,43951
62A,48,47595
63A,25,7711
64A,29,10612
65A,22,4727
66A,39,22717
67A,14,1644
68A,16,1965
69A,28,7749
70A,48,35380
71A,48,46690
72A,15,2016
73A,19,3437
74A,20,2962
75A,44,34285
76A,14,1687
77A,39,26655
78A,25,6204
79A,13,1747
80A,45,35323
81A,48,45103
82A,46,42172
83A,11,1258
84A,42,31030
85A,35,13431
86A,48,36027
87A,42,29356
88A,22,3613
89A,43,30423
90A,27,7420
91A,27,9135
92A,16,2502
93A,27,5365
94A,30,12111
95A,14,1293
96A,11,370
97A,38,22758
98A,20,2482
99A,25,5310
100A,34,17311
101A,26,6294
102A,20,4270
103A,10,495
104A,49,43938
105A,11,675
106A,45,35700
107A,43,28561
108A,47,41730
109A,39,24327
110A,15,1121
111A,48,42777
112A,18,3731
113A,16,2280
114A,11,442
115A,24,4586
116A,34,13070
117A,12,435
118A,37,18910
119A,13,1087
120A,35,17533
121A,46,31265
122A,41,27799
123A,10,431
124A,16,2239
125A,38,19553
126A,24,4973
127A,26,8743
128A,31,14288
129A,35,16759
130A,42,27804
131A,25,5727
132A,14,1155
133A,19,2560
134A,14,710
135A,20,3641
136A,28,10979
137A,33,10347
138A,39,19551
139A,20,4625
140A,42,30991
141A,47,36333
142A,34,12001
143A,48,46781
144A,43,32958
145A,30,12533
146A,47,35750
147A,35,13834
148A,43,24667
149A,32,15570
150A,25,4690
151A,32,12908
152A,37,19893
153A,36,14121
154A,43,33705
155A,23,3276
156A,31,9249
157A,47,43954
158A,50,52423
159A,15,1202
160A,33,12376
161A,13,1464
162A,21,2624
163A,45,35372
164A,49,44478
165A,44,28779
166A,12,1074
167A,45,35847
168A,18,3105
169A,24,6572
170A,49,40809
171A,11,966
172A,44,32923
173A,43,27366
174A,48,36775
175A,33,11195
